[329.109, 28.0481, 139.817, -235.782, 137.113, -42.4601, -45.4033, -310.431]
[329.378, 27.779, 139.817, -235.782, 137.113, -42.4601, -45.4033, -310.431]
[329.398, 27.779, 139.817, -235.802, 137.113, -42.4601, -45.4033, -310.431]
[329.398, 26.3691, 141.227, -235.802, 137.113, -42.4601, -45.4033, -310.431]
[329.534, 26.3691, 141.227, -235.802, 137.113, -42.5959, -45.4033, -310.431]
[329.534, 26.3691, 141.227, -236.527, 137.113, -41.8706, -45.4033, -310.431]
[329.534, 26.3691, 141.227, -234.674, 137.113, -41.8706, -45.4033, -312.284]
[323.938, 26.3691, 141.227, -234.674, 137.113, -36.2746, -45.4033, -312.284]
[323.938, 26.3691, 141.227, -238.6, 137.113, -36.2746, -45.4033, -308.358]
[323.938, 26.3691, 141.227, -238.6, 137.909, -36.2746, -46.199, -308.358]
[323.938, 26.3691, 141.227, -239.27, 137.909, -35.6051, -46.199, -308.358]
[323.938, 26.3691, 141.351, -239.394, 137.909, -35.6051, -46.199, -308.358]
[323.938, 26.3691, 141.351, -240.12, 137.909, -35.6051, -45.4737, -308.358]
[324.077, 26.3691, 141.351, -240.12, 137.909, -35.6051, -45.6128, -308.358]
[324.077, 26.3691, 141.351, -240.776, 137.909, -34.9485, -45.6128, -308.358]
[324.077, 26.3691, 141.351, -241.425, 137.909, -34.2995, -45.6128, -308.358]
[324.077, 26.3691, 142.195, -241.425, 137.909, -35.1435, -45.6128, -308.358]
[324.077, 26.7376, 142.195, -241.794, 137.909, -35.1435, -45.6128, -308.358]
[324.077, 27.1036, 142.195, -242.16, 137.909, -35.1435, -45.6128, -308.358]
[324.077, 27.4671, 142.195, -242.523, 137.909, -35.1435, -45.6128, -308.358]
[324.877, 27.4671, 141.395, -242.523, 137.909, -35.1435, -45.6128, -308.358]
[324.877, 27.4671, 141.395, -243.164, 137.909, -34.5033, -45.6128, -308.358]
[324.877, 27.4671, 141.395, -243.288, 138.033, -34.5033, -45.6128, -308.358]
[325.666, 27.4671, 140.606, -243.288, 138.033, -34.5033, -45.6128, -308.358]
[326.427, 27.4671, 140.606, -243.288, 137.271, -34.5033, -45.6128, -308.358]
[327.201, 27.4671, 139.833, -243.288, 137.271, -34.5033, -45.6128, -308.358]
[327.201, 27.4671, 139.833, -247.055, 137.271, -34.5033, -45.6128, -304.591]
[321.618, 27.4671, 139.833, -247.055, 137.271, -28.9208, -45.6128, -304.591]
[321.618, 27.4671, 139.833, -247.055, 138.186, -29.8352, -45.6128, -304.591]
[321.618, 27.4671, 139.833, -247.174, 138.305, -29.8352, -45.6128, -304.591]
[321.618, 27.4671, 139.833, -245.109, 138.305, -29.8352, -45.6128, -306.656]
[321.618, 27.4671, 139.833, -245.109, 139.091, -29.8352, -46.399, -306.656]
[321.618, 27.4671, 139.833, -245.109, 139.985, -30.7287, -46.399, -306.656]
[315.906, 27.4671, 139.833, -239.396, 139.985, -30.7287, -46.399, -306.656]
[315.906, 27.4671, 139.833, -240.123, 139.985, -30.7287, -45.6724, -306.656]
[316.079, 27.4671, 139.833, -240.123, 139.985, -30.9023, -45.6724, -306.656]
[316.079, 27.4671, 139.833, -240.123, 140.863, -31.7812, -45.6724, -306.656]
[311.186, 27.4671, 144.726, -240.123, 140.863, -31.7812, -45.6724, -306.656]
[311.186, 27.8364, 144.726, -240.492, 140.863, -31.7812, -45.6724, -306.656]
[311.186, 27.8364, 144.726, -234.883, 135.255, -31.7812, -45.6724, -306.656]
[311.186, 27.8364, 144.726, -235.021, 135.393, -31.7812, -45.6724, -306.656]
[311.186, 27.8364, 144.726, -235.021, 136.199, -31.7812, -46.4781, -306.656]
[311.186, 27.8364, 144.726, -229.426, 130.603, -31.7812, -46.4781, -306.656]
[311.186, 27.8364, 145.563, -229.426, 130.603, -32.619, -46.4781, -306.656]
[311.186, 27.8364, 145.563, -233.347, 130.603, -32.619, -46.4781, -302.735]
[311.186, 27.8364, 145.69, -233.473, 130.603, -32.619, -46.4781, -302.735]
[311.996, 27.8364, 145.69, -233.473, 129.794, -32.619, -46.4781, -302.735]
[311.996, 27.8364, 145.69, -233.621, 129.941, -32.619, -46.4781, -302.735]
[312.794, 27.8364, 145.69, -233.621, 129.142, -32.619, -46.4781, -302.735]
[312.794, 27.8364, 145.69, -233.621, 130.091, -33.5679, -46.4781, -302.735]
[312.794, 27.8364, 145.69, -233.621, 131.025, -34.5019, -46.4781, -302.735]
[312.794, 27.8364, 145.69, -234.31, 131.025, -33.8133, -46.4781, -302.735]
[312.794, 26.4874, 147.039, -234.31, 131.025, -33.8133, -46.4781, -302.735]
[312.794, 26.4874, 147.039, -235.07, 131.025, -33.8133, -45.7181, -302.735]
