[270.787, 112.506, -26.176, -142.279, 96.5235, -58.9595, -19.007, -233.363]
[271.1, 112.506, -26.176, -142.279, 96.5235, -59.2721, -19.007, -233.363]
[271.1, 112.506, -26.176, -142.279, 98.6228, -59.2721, -21.1063, -233.363]
[271.1, 113.839, -26.176, -142.279, 98.6228, -60.6057, -21.1063, -233.363]
[262.783, 113.839, -26.176, -142.279, 98.6228, -60.6057, -12.7893, -233.363]
[263.307, 113.839, -26.176, -142.279, 98.6228, -60.6057, -13.3132, -233.363]
[263.307, 115.573, -27.9096, -142.279, 98.6228, -60.6057, -13.3132, -233.363]
[263.307, 115.573, -27.9096, -144.172, 98.6228, -60.6057, -11.4208, -233.363]
[263.307, 107.416, -27.9096, -136.014, 98.6228, -60.6057, -11.4208, -233.363]
[255.07, 107.416, -27.9096, -136.014, 98.6228, -60.6057, -3.18412, -233.363]
[255.07, 107.416, -27.9096, -133.611, 98.6228, -60.6057, -3.18412, -235.766]
[255.07, 100.451, -20.9446, -133.611, 98.6228, -60.6057, -3.18412, -235.766]
[255.07, 100.451, -20.9446, -135.482, 98.6228, -60.6057, -1.31333, -235.766]
[255.07, 100.451, -20.9446, -135.482, 100.981, -60.6057, -3.67161, -235.766]
[255.07, 100.451, -20.9446, -135.482, 102.434, -62.0586, -3.67161, -235.766]
[255.423, 100.451, -20.9446, -135.482, 102.434, -62.4115, -3.67161, -235.766]
[255.423, 100.451, -20.9446, -135.482, 104.687, -62.4115, -5.92507, -235.766]
[255.423, 100.451, -20.9446, -138.331, 104.687, -59.5627, -5.92507, -235.766]
[255.423, 93.1583, -20.9446, -138.331, 104.687, -52.2701, -5.92507, -235.766]
[255.423, 94.8178, -20.9446, -138.331, 104.687, -53.9297, -5.92507, -235.766]
[255.423, 94.8178, -20.9446, -139.04, 105.397, -53.9297, -5.92507, -235.766]
[257.021, 94.8178, -20.9446, -139.04, 103.798, -53.9297, -5.92507, -235.766]
[257.021, 96.4331, -20.9446, -139.04, 103.798, -55.545, -5.92507, -235.766]
[257.021, 97.193, -20.9446, -139.8, 103.798, -55.545, -5.92507, -235.766]
[257.021, 97.193, -20.9446, -141.62, 103.798, -55.545, -4.10451, -235.766]
[257.021, 97.193, -20.9446, -139.161, 103.798, -55.545, -4.10451, -238.226]
[257.021, 99.2509, -23.0026, -139.161, 103.798, -55.545, -4.10451, -238.226]
[257.021, 101.245, -24.9965, -139.161, 103.798, -55.545, -4.10451, -238.226]
[257.021, 101.245, -22.8753, -141.282, 103.798, -55.545, -4.10451, -238.226]
[257.021, 92.7647, -22.8753, -141.282, 103.798, -55.545, -4.10451, -229.745]
[248.417, 92.7647, -22.8753, -132.678, 103.798, -55.545, -4.10451, -229.745]
[248.417, 92.7647, -22.8753, -135.449, 103.798, -52.7737, -4.10451, -229.745]
[248.417, 92.7647, -22.8753, -135.449, 106.021, -52.7737, -6.32801, -229.745]
[248.417, 92.7647, -20.7284, -137.596, 106.021, -52.7737, -6.32801, -229.745]
[248.598, 92.7647, -20.7284, -137.777, 106.021, -52.7737, -6.32801, -229.745]
[248.598, 92.7647, -20.7284, -137.777, 108.172, -52.7737, -8.47854, -229.745]
[248.598, 92.7647, -20.7284, -137.777, 109.633, -54.2344, -8.47854, -229.745]
[249.153, 92.7647, -21.2838, -137.777, 109.633, -54.2344, -8.47854, -229.745]
[249.153, 92.7647, -21.2838, -144.043, 109.633, -54.2344, -8.47854, -223.479]
[249.153, 92.7647, -21.2838, -141.315, 109.633, -54.2344, -8.47854, -226.207]
[250.894, 92.7647, -21.2838, -141.315, 107.892, -54.2344, -8.47854, -226.207]
[252.586, 92.7647, -21.2838, -141.315, 106.2, -54.2344, -8.47854, -226.207]
[252.586, 94.8878, -23.4069, -141.315, 106.2, -54.2344, -8.47854, -226.207]
[252.586, 94.8878, -23.4069, -141.315, 106.2, -54.2344, -7.58622, -227.099]
[254.087, 93.387, -23.4069, -141.315, 106.2, -54.2344, -7.58622, -227.099]
[254.087, 93.387, -30.11, -134.612, 106.2, -54.2344, -7.58622, -227.099]
[254.087, 93.387, -30.11, -137.323, 106.2, -51.5243, -7.58622, -227.099]
[255.713, 93.387, -30.11, -137.323, 104.573, -51.5243, -7.58622, -227.099]
[257.298, 93.387, -30.11, -137.323, 102.989, -51.5243, -7.58622, -227.099]
[257.298, 95.0535, -30.11, -137.323, 102.989, -53.1907, -7.58622, -227.099]
[257.298, 95.0535, -30.11, -139.963, 102.989, -50.5503, -7.58622, -227.099]
[257.298, 95.0535, -30.11, -139.963, 105.169, -50.5503, -9.76567, -227.099]
[257.298, 96.7107, -30.11, -139.963, 105.169, -52.2075, -9.76567, -227.099]
[257.298, 96.7107, -30.11, -139.963, 107.277, -52.2075, -11.8745, -227.099]
[257.298, 96.7107, -30.11, -137.378, 107.277, -52.2075, -11.8745, -229.684]
[257.298, 96.7107, -30.11, -137.378, 99.9914, -44.9215, -11.8745, -229.684]
[257.298, 97.4802, -30.11, -138.147, 99.9914, -44.9215, -11.8745, -229.684]
[257.854, 97.4802, -30.11, -138.147, 99.9914, -44.9215, -12.4308, -229.684]
[257.854, 97.4802, -26.0516, -138.147, 99.9914, -48.9798, -12.4308, -229.684]
[257.854, 97.4802, -26.0516, -140.088, 99.9914, -48.9798, -10.4897, -229.684]
[257.854, -40.5792, 112.008, -140.088, 99.9914, -48.9798, -10.4897, -229.684]
[258.276, -41.0011, 112.008, -140.088, 99.9914, -48.9798, -10.4897, -229.684]
[258.276, -41.0011, 112.008, -142.602, 99.9914, -46.4663, -10.4897, -229.684]
[258.276, -42.5611, 113.568, -142.602, 99.9914, -46.4663, -10.4897, -229.684]
